,x
TCGA.A7.A0D9.01A.31R.A056.07,1
TCGA.A2.A0ER.01A.21R.A034.07,1
TCGA.E9.A247.01A.11R.A169.07,1
TCGA.AC.A3TN.01A.11R.A22K.07,1
TCGA.D8.A1JS.01A.11R.A13Q.07,1
TCGA.C8.A132.01A.31R.A115.07,1
TCGA.GM.A2D9.01A.11R.A18M.07,1
TCGA.D8.A146.01A.31R.A115.07,1
TCGA.E9.A245.01A.22R.A16F.07,1
TCGA.BH.A18S.01A.11R.A12D.07,1
TCGA.E9.A1RF.01A.11R.A157.07,1
TCGA.BH.A0BO.01A.23R.A12D.07,1
TCGA.BH.A0DX.01A.11R.A115.07,1
TCGA.A2.A0EO.01A.11R.A034.07,1
TCGA.EW.A1P6.01A.11R.A144.07,1
TCGA.BH.A0BC.01A.22R.A084.07,1
TCGA.E9.A1R5.01A.11R.A14M.07,1
TCGA.AC.A3EH.01A.22R.A22K.07,1
TCGA.A2.A0EM.01A.11R.A034.07,1
TCGA.BH.A0EA.01A.11R.A115.07,1
TCGA.GM.A2DN.01A.11R.A180.07,2
TCGA.D8.A1JH.01A.11R.A13Q.07,1
TCGA.A8.A086.01A.11R.A00Z.07,1
TCGA.A8.A08T.01A.21R.A00Z.07,1
TCGA.BH.A0BR.01A.21R.A115.07,1
TCGA.B6.A0IO.01A.11R.A034.07,1
TCGA.B6.A0X0.01A.21R.A115.07,1
TCGA.B6.A0WY.01A.11R.A109.07,1
TCGA.B6.A0WZ.01A.11R.A109.07,1
TCGA.B6.A2IU.01A.32R.A18M.07,1
TCGA.LQ.A4E4.01A.11R.A266.07,1
TCGA.E2.A154.01A.11R.A115.07,1
TCGA.E9.A1RC.01A.11R.A157.07,1
TCGA.BH.A0H7.01A.13R.A056.07,1
TCGA.A2.A0EX.01A.21R.A034.07,1
TCGA.C8.A273.01A.11R.A16F.07,1
TCGA.D8.A27V.01A.12R.A17B.07,1
TCGA.A8.A09B.01A.11R.A00Z.07,1
TCGA.E2.A1IK.01A.11R.A144.07,1
TCGA.E9.A229.01A.31R.A157.07,1
TCGA.BH.A1ET.01A.11R.A137.07,1
TCGA.EW.A1PA.01A.11R.A144.07,1
TCGA.D8.A27P.01A.11R.A16F.07,1
TCGA.D8.A145.01A.11R.A115.07,1
TCGA.AR.A1AS.01A.11R.A12P.07,1
TCGA.AR.A24P.01A.11R.A169.07,1
TCGA.E9.A1R0.01A.22R.A16F.07,1
TCGA.A2.A4RW.01A.21R.A266.07,1
TCGA.E2.A1IO.01A.11R.A144.07,1
TCGA.A2.A0YD.01A.11R.A109.07,1
TCGA.B6.A0IM.01A.11R.A034.07,1
TCGA.BH.A42V.01A.11R.A24H.07,1
TCGA.E2.A1IL.01A.11R.A14D.07,1
TCGA.B6.A0IP.01A.11R.A034.07,1
TCGA.E2.A1IE.01A.11R.A13Q.07,1
TCGA.A7.A26H.01A.11R.A169.07,1
TCGA.A1.A0SM.01A.11R.A084.07,1
TCGA.A2.A4S2.01A.12R.A266.07,2
TCGA.C8.A1HI.01A.11R.A137.07,1
TCGA.A1.A0SJ.01A.11R.A084.07,1
TCGA.A1.A0SD.01A.11R.A115.07,1
TCGA.E9.A1R3.01A.31R.A14M.07,1
TCGA.D8.A1XA.01A.11R.A14D.07,1
TCGA.BH.A1EW.01A.11R.A137.07,1
TCGA.E9.A295.01A.11R.A16F.07,1
TCGA.E2.A14U.01A.11R.A22K.07,1
TCGA.B6.A0IG.01A.11R.A034.07,1
TCGA.BH.A1FL.01A.11R.A13Q.07,1
TCGA.E2.A107.01A.11R.A10J.07,1
TCGA.A7.A3J1.01A.11R.A213.07,2
TCGA.E2.A1IF.01A.11R.A144.07,1
TCGA.BH.A0DQ.01A.11R.A084.07,1
TCGA.E9.A1RD.01A.11R.A157.07,1
TCGA.BH.A1EO.01A.11R.A137.07,1
TCGA.E2.A153.01A.12R.A12D.07,1
TCGA.AN.A0FT.01A.11R.A034.07,1
TCGA.OL.A66J.01A.11R.A29R.07,1
TCGA.A2.A0ET.01A.31R.A034.07,1
TCGA.BH.A0HP.01A.12R.A084.07,1
TCGA.BH.A1EY.01A.11R.A13Q.07,1
TCGA.B6.A0X7.01A.11R.A10J.07,1
TCGA.BH.A0DT.11A.12R.A12D.07,1
TCGA.BH.A18S.11A.43R.A12D.07,1
TCGA.BH.A0H7.11A.13R.A089.07,1
TCGA.BH.A0DK.11A.13R.A089.07,1
TCGA.BH.A0DO.11A.22R.A12D.07,1
TCGA.E2.A153.11A.31R.A12D.07,1
TCGA.BH.A0BV.11A.31R.A089.07,1
TCGA.BH.A0DV.11A.22R.A12P.07,1
TCGA.A7.A0D9.11A.53R.A089.07,1
TCGA.AC.A2FB.11A.13R.A17B.07,1
TCGA.BH.A0BC.11A.22R.A089.07,1
TCGA.BH.A18M.11A.33R.A12D.07,1
TCGA.E9.A1N5.11A.41R.A14D.07,1
TCGA.E2.A1IG.11A.22R.A144.07,1
TCGA.BH.A1EU.11A.23R.A137.07,1
TCGA.BH.A0DP.11A.12R.A089.07,1
TCGA.BH.A0BQ.11A.33R.A115.07,1
TCGA.BH.A1FH.11B.42R.A13Q.07,1
TCGA.GI.A2C8.11A.22R.A16F.07,1
TCGA.BH.A0AY.11A.23R.A089.07,1
TCGA.E9.A1RD.11A.33R.A157.07,1
TCGA.BH.A0E1.11A.13R.A089.07,1
TCGA.BH.A1FG.11B.12R.A13Q.07,1
TCGA.E9.A1RI.11A.41R.A169.07,1
TCGA.BH.A1FE.11B.14R.A13Q.07,1
TCGA.A7.A13G.11A.51R.A13Q.07,1
TCGA.E2.A1BC.11A.32R.A12P.07,1
TCGA.BH.A0H5.11A.62R.A115.07,1
TCGA.BH.A1ET.11B.23R.A137.07,1
TCGA.BH.A0BM.11A.12R.A089.07,1
TCGA.AC.A2FF.11A.13R.A17B.07,1
TCGA.E9.A1N4.11A.33R.A14M.07,1
TCGA.BH.A1EO.11A.31R.A137.07,1
TCGA.BH.A0DZ.11A.22R.A089.07,1
TCGA.BH.A18J.11A.31R.A12D.07,1
TCGA.BH.A0H9.11A.22R.A466.07,1
TCGA.AC.A2FM.11B.32R.A19W.07,1
TCGA.BH.A0BS.11A.11R.A12P.07,1
TCGA.E2.A15M.11A.22R.A12D.07,1
TCGA.E9.A1RC.11A.33R.A157.07,1
TCGA.BH.A0AZ.11A.22R.A12P.07,1
TCGA.BH.A0DQ.11A.12R.A089.07,1
TCGA.BH.A0BJ.11A.23R.A089.07,1
TCGA.BH.A0DH.11A.31R.A089.07,1
TCGA.BH.A18N.11A.43R.A12D.07,1
TCGA.E2.A15I.11A.32R.A137.07,1
TCGA.BH.A0BA.11A.22R.A19E.07,1
TCGA.BH.A1EW.11B.33R.A137.07,1
TCGA.E9.A1RF.11A.32R.A157.07,1
TCGA.A7.A0CH.11A.32R.A089.07,1
TCGA.BH.A0HK.11A.11R.A089.07,1
TCGA.A7.A0DB.11A.33R.A089.07,1
TCGA.BH.A0DG.11A.43R.A12P.07,1
TCGA.BH.A0HA.11A.31R.A12P.07,1
TCGA.BH.A1FR.11B.42R.A13Q.07,1
TCGA.BH.A0B5.11A.23R.A12P.07,1
TCGA.E9.A1NG.11A.52R.A14M.07,1
TCGA.BH.A1ES.06A.12R.A24H.07,1
TCGA.BH.A1FE.06A.11R.A213.07,1
TCGA.E2.A15E.06A.11R.A12D.07,1
